pollster,population,date,approval,disapproval
YouGov,All adults,2024-07-16,37,59
YouGov,Registered voters,2024-07-16,40,58
YouGov,All adults,2024-07-09,37,58
YouGov,Registered voters,2024-07-09,40,58
YouGov,All adults,2024-07-02,37,57
YouGov,Registered voters,2024-07-02,40,57
YouGov,All adults,2024-07-01,38,57
YouGov,Registered voters,2024-07-01,41,58
YouGov,All adults,2024-06-25,36,58
YouGov,Registered voters,2024-06-25,41,57
YouGov,Registered voters,2024-06-24,42.8,55.9
YouGov,All adults,2024-06-22,37,55
YouGov,All adults,2024-06-18,37,58
YouGov,Registered voters,2024-06-18,42,57
YouGov,All adults,2024-06-11,36,59
YouGov,Registered voters,2024-06-11,40,58
YouGov,All adults,2024-06-06,37,58
YouGov,Registered voters,2024-06-06,40,58
YouGov,All adults,2024-06-04,37,57
YouGov,Registered voters,2024-06-04,40,58
YouGov,All adults,2024-05-28,38,58
YouGov,Registered voters,2024-05-28,40,58
YouGov,All adults,2024-05-21,36,58
YouGov,Registered voters,2024-05-21,39,58
YouGov,All adults,2024-05-14,39,57
YouGov,Registered voters,2024-05-14,40,58
YouGov,All adults,2024-05-13,38,57
YouGov,All adults,2024-05-07,37,58
YouGov,Registered voters,2024-05-07,40,58
YouGov,All adults,2024-04-30,37,58
YouGov,Registered voters,2024-04-30,40,58
YouGov,All adults,2024-04-23,36,59
YouGov,Registered voters,2024-04-23,41,58
YouGov,All adults,2024-04-16,38,59
YouGov,Registered voters,2024-04-16,40,58
YouGov,All adults,2024-04-15,40,54
YouGov,Registered voters,2024-04-15,44,54
YouGov,All adults,2024-04-12,40,60
YouGov,All adults,2024-04-09,37,59
YouGov,Registered voters,2024-04-09,41,57
YouGov,All adults,2024-04-02,38,57
YouGov,Registered voters,2024-04-02,42,56
YouGov,All adults,2024-03-26,38,57
YouGov,Registered voters,2024-03-26,41,57
YouGov,All adults,2024-03-19,40,56
YouGov,Registered voters,2024-03-19,43,56
YouGov,All adults,2024-03-12,39,55
YouGov,Registered voters,2024-03-12,42,55
YouGov,All adults,2024-03-11,39,55
YouGov,Registered voters,2024-03-11,43,56
YouGov,All adults,2024-03-05,40,56
YouGov,Registered voters,2024-03-05,42,56
YouGov,All adults,2024-02-27,43,52
YouGov,Registered voters,2024-02-27,45,53
YouGov,All adults,2024-02-20,42,53
YouGov,Registered voters,2024-02-20,43,54
YouGov,All adults,2024-02-14,42,58
YouGov,All adults,2024-02-13,42,55
YouGov,Registered voters,2024-02-13,45,54
YouGov,All adults,2024-02-06,42,55
YouGov,Registered voters,2024-02-06,45,53
YouGov,All adults,2024-01-30,41,54
YouGov,Registered voters,2024-01-30,44,54
YouGov,All adults,2024-01-30,39,57
YouGov,All adults,2024-01-29,40,56
YouGov,Registered voters,2024-01-29,43,55
YouGov,All adults,2024-01-23,40,56
YouGov,Registered voters,2024-01-23,43,55
YouGov,All adults,2024-01-16,40,54
YouGov,Registered voters,2024-01-16,43,54
YouGov,All adults,2024-01-09,40,53
YouGov,Registered voters,2024-01-09,42,57
YouGov,All adults,2024-01-05,41,59
YouGov,All adults,2024-01-02,39,56
YouGov,Registered voters,2024-01-02,43,56
YouGov,All adults,2023-12-18,40,54
YouGov,Registered voters,2023-12-18,42,55
YouGov,All adults,2023-12-18,37,57
YouGov,All adults,2023-12-12,39,55
YouGov,Registered voters,2023-12-12,42,55
YouGov,All adults,2023-12-08,41,59
YouGov,All adults,2023-12-05,39,55
YouGov,Registered voters,2023-12-05,43,55
YouGov,All adults,2023-11-27,41,54
YouGov,Registered voters,2023-11-27,44,54
YouGov,All adults,2023-11-20,40,54
YouGov,Registered voters,2023-11-20,44,54
YouGov,All adults,2023-11-15,42.4,54.7
YouGov,All adults,2023-11-14,41,52
YouGov,Registered voters,2023-11-14,44,54
YouGov,All adults,2023-11-13,38,56
YouGov,Registered voters,2023-11-13,40,58
YouGov,All adults,2023-11-07,40,54
YouGov,Registered voters,2023-11-07,43,54
YouGov,All adults,2023-10-31,39,57
YouGov,Registered voters,2023-10-31,40,57
YouGov,All adults,2023-10-24,40,55
YouGov,Registered voters,2023-10-24,41,56
YouGov,All adults,2023-10-19,40,60
YouGov,All adults,2023-10-17,41,53
YouGov,Registered voters,2023-10-17,43,54
YouGov,All adults,2023-10-16,39,54
YouGov,Registered voters,2023-10-16,42,55
YouGov,All adults,2023-10-10,41,54
YouGov,Registered voters,2023-10-10,44,53
YouGov,All adults,2023-10-03,40,55
YouGov,Registered voters,2023-10-03,42,57
YouGov,All adults,2023-09-26,40,55
YouGov,Registered voters,2023-09-26,42,55
YouGov,All adults,2023-09-19,41,55
YouGov,Registered voters,2023-09-19,43,54
YouGov,All adults,2023-09-18,38,56
YouGov,Registered voters,2023-09-18,42,55
YouGov,All adults,2023-09-12,38,57
YouGov,Registered voters,2023-09-12,41,56
YouGov,All adults,2023-09-08,40,60
YouGov,All adults,2023-09-05,41,53
YouGov,Registered voters,2023-09-05,45,53
YouGov,All adults,2023-08-29,38,55
YouGov,Registered voters,2023-08-29,41,57
YouGov,All adults,2023-08-22,41,54
YouGov,Registered voters,2023-08-22,43,54
YouGov,All adults,2023-08-21,41,54
YouGov,Registered voters,2023-08-21,44,54
YouGov,All adults,2023-08-15,40,53
YouGov,Registered voters,2023-08-15,42,54
YouGov,All adults,2023-08-08,41,53
YouGov,Registered voters,2023-08-08,44,54
YouGov,All adults,2023-08-01,40,56
YouGov,Registered voters,2023-08-01,41,56
YouGov,All adults,2023-07-28,40,60
YouGov,All adults,2023-07-25,44,52
YouGov,Registered voters,2023-07-25,45,52
YouGov,All adults,2023-07-18,40,54
YouGov,Registered voters,2023-07-18,42,54
YouGov,All adults,2023-07-17,40,54
YouGov,Registered voters,2023-07-17,44,54
YouGov,All adults,2023-07-11,39,56
YouGov,Registered voters,2023-07-11,41,56
YouGov,All adults,2023-07-05,38,55
YouGov,Registered voters,2023-07-05,40,55
YouGov,All adults,2023-06-27,39,55
YouGov,Registered voters,2023-06-27,40,56
YouGov,All adults,2023-06-20,45,51
YouGov,Registered voters,2023-06-20,47,50
YouGov,All adults,2023-06-20,40,52
YouGov,Registered voters,2023-06-20,44,53
YouGov,All adults,2023-06-13,42,54
YouGov,Registered voters,2023-06-13,43,54
YouGov,All adults,2023-06-10,41,59
YouGov,All adults,2023-06-08,44,52
YouGov,All adults,2023-06-06,42,53
YouGov,Registered voters,2023-06-06,44,53
YouGov,All adults,2023-05-31,40,54
YouGov,Registered voters,2023-05-31,42,54
YouGov,All adults,2023-05-30,44,49
YouGov,Registered voters,2023-05-30,48,50
YouGov,All adults,2023-05-23,46,50
YouGov,Registered voters,2023-05-23,48,50
YouGov,All adults,2023-05-19,41,59
YouGov,All adults,2023-05-16,45,49
YouGov,Registered voters,2023-05-16,46,51
YouGov,All adults,2023-05-09,48,46
YouGov,Registered voters,2023-05-09,50,47
YouGov,All adults,2023-05-08,43,48
YouGov,Registered voters,2023-05-08,47,50
YouGov,All adults,2023-05-02,44,49
YouGov,Registered voters,2023-05-02,46,52
YouGov,All adults,2023-04-25,47,48
YouGov,Registered voters,2023-04-25,49,49
YouGov,All adults,2023-04-24,41,59
YouGov,All adults,2023-04-18,42,50
YouGov,Registered voters,2023-04-18,46,51
YouGov,All adults,2023-04-17,44,50
YouGov,Registered voters,2023-04-17,47,51
YouGov,All adults,2023-04-14,43,57
YouGov,All adults,2023-04-11,45,48
YouGov,Registered voters,2023-04-11,46,50
YouGov,All adults,2023-04-04,44,50
YouGov,Registered voters,2023-04-04,47,51
YouGov,All adults,2023-03-28,42,52
YouGov,Registered voters,2023-03-28,45,52
YouGov,All adults,2023-03-22,45,55
YouGov,All adults,2023-03-21,43,51
YouGov,Registered voters,2023-03-21,46,52
YouGov,All adults,2023-03-21,47.1,52.9
YouGov,All adults,2023-03-20,43,51
YouGov,Registered voters,2023-03-20,45,52
YouGov,All adults,2023-03-14,42,50
YouGov,Registered voters,2023-03-14,45,52
YouGov,All adults,2023-03-07,41,52
YouGov,Registered voters,2023-03-07,43,54
YouGov,All adults,2023-02-28,42,51
YouGov,Registered voters,2023-02-28,44,54
YouGov,All adults,2023-02-27,41,53
YouGov,All adults,2023-02-21,44,50
YouGov,Registered voters,2023-02-21,48,50
YouGov,All adults,2023-02-14,42,50
YouGov,Registered voters,2023-02-14,45,52
YouGov,All adults,2023-02-07,41,50
YouGov,Registered voters,2023-02-07,45,52
YouGov,All adults,2023-02-06,41,52
YouGov,Registered voters,2023-02-06,45,53
YouGov,All adults,2023-02-04,45,55
YouGov,All adults,2023-01-31,41,52
YouGov,Registered voters,2023-01-31,44,52
YouGov,All adults,2023-01-27,44,56
YouGov,All adults,2023-01-24,41,51
YouGov,Registered voters,2023-01-24,43,52
YouGov,All adults,2023-01-17,44,48
YouGov,Registered voters,2023-01-17,47,51
YouGov,All adults,2023-01-16,43,49
YouGov,Registered voters,2023-01-16,47,51
YouGov,All adults,2023-01-10,47,45
YouGov,Registered voters,2023-01-10,50,47
YouGov,All adults,2023-01-09,44,51
YouGov,All adults,2023-01-06,44,56
YouGov,All adults,2023-01-03,44,46
YouGov,Registered voters,2023-01-03,47,49
YouGov,All adults,2022-12-20,43,48
YouGov,Registered voters,2022-12-20,47,49
YouGov,All adults,2022-12-19,43,50
YouGov,Registered voters,2022-12-19,45,52
YouGov,All adults,2022-12-13,41,47
YouGov,Registered voters,2022-12-13,45,50
YouGov,All adults,2022-12-06,42,51
YouGov,Registered voters,2022-12-06,42,56
YouGov,All adults,2022-12-05,42,52
YouGov,Registered voters,2022-12-05,45,54
YouGov,All adults,2022-11-29,39.37,50.38
YouGov,Registered voters,2022-11-29,43.23,52.71
YouGov,All adults,2022-11-22,43,47
YouGov,Registered voters,2022-11-22,46,49
YouGov,All adults,2022-11-15,42.5,49.94
YouGov,Registered voters,2022-11-15,43.94,52.53
YouGov,All adults,2022-11-06,42,51
YouGov,Registered voters,2022-11-06,45,52
YouGov,All adults,2022-11-01,41.9,49.92
YouGov,Registered voters,2022-11-01,45.15,50.87
YouGov,All adults,2022-10-31,42,49
YouGov,Registered voters,2022-10-31,46,52
YouGov,Registered voters,2022-10-28,44,56
YouGov,All adults,2022-10-25,41.54,50.82
YouGov,Registered voters,2022-10-25,45.01,52.61
YouGov,All adults,2022-10-21,41,52
YouGov,All adults,2022-10-19,40,52
YouGov,All adults,2022-10-18,38.91,53.99
YouGov,Registered voters,2022-10-18,44,52
YouGov,All adults,2022-10-17,43,51
YouGov,Registered voters,2022-10-17,47,51
YouGov,Registered voters,2022-10-14,48,52
YouGov,All adults,2022-10-11,45,46
YouGov,Registered voters,2022-10-11,48,49
YouGov,All adults,2022-10-04,42.56,48.75
YouGov,Registered voters,2022-10-04,46.9,49.5
YouGov,All adults,2022-09-27,40.87,50.1
YouGov,Registered voters,2022-09-27,44.55,51.92
YouGov,All adults,2022-09-27,39,53
YouGov,Registered voters,2022-09-27,44,53
YouGov,Registered voters,2022-09-23,45,55
YouGov,All adults,2022-09-20,41.15,50.73
YouGov,Registered voters,2022-09-20,45.09,50.78
YouGov,All adults,2022-09-13,40.31,52.18
YouGov,Registered voters,2022-09-13,42.65,51.65
YouGov,All adults,2022-09-06,41,51
YouGov,Registered voters,2022-09-06,43,51
YouGov,All adults,2022-09-06,40,52
YouGov,Registered voters,2022-09-06,43,53
YouGov,All adults,2022-08-30,41,50
YouGov,Registered voters,2022-08-30,43,51
YouGov,Registered voters,2022-08-26,45,55
YouGov,All adults,2022-08-23,41,51
YouGov,Registered voters,2022-08-23,42,52
YouGov,All adults,2022-08-22,40,53
YouGov,Registered voters,2022-08-22,43,54
YouGov,All adults,2022-08-16,41.88,50.23
YouGov,Registered voters,2022-08-16,44.4,51.22
YouGov,All adults,2022-08-09,38,55
YouGov,Registered voters,2022-08-09,41,55
YouGov,All adults,2022-08-02,38,54
YouGov,Registered voters,2022-08-02,40,55
YouGov,All adults,2022-08-01,35,56
YouGov,Registered voters,2022-08-01,38,58
YouGov,Registered voters,2022-07-29,42,58
YouGov,All adults,2022-07-26,38,54
YouGov,Registered voters,2022-07-26,40,54
YouGov,All adults,2022-07-19,37,54
YouGov,Registered voters,2022-07-19,40,54
YouGov,All adults,2022-07-11,37,55
YouGov,Registered voters,2022-07-11,40,55
YouGov,All adults,2022-07-11,38,55
YouGov,Registered voters,2022-07-11,41,57
YouGov,All adults,2022-07-05,38,52
YouGov,Registered voters,2022-07-05,41,53
YouGov,All adults,2022-06-28,36,55
YouGov,Registered voters,2022-06-28,39,56
YouGov,All adults,2022-06-27,38,54
YouGov,Registered voters,2022-06-27,40,57
YouGov,All adults,2022-06-24,41,59
YouGov,All adults,2022-06-21,40,52
YouGov,Registered voters,2022-06-21,43,53
YouGov,All adults,2022-06-14,41,51
YouGov,Registered voters,2022-06-14,44,51
YouGov,All adults,2022-06-13,39,56
YouGov,Registered voters,2022-06-13,40,57
YouGov,All adults,2022-06-07,41,50
YouGov,Registered voters,2022-06-07,43,51
YouGov,All adults,2022-05-31,41,49
YouGov,Registered voters,2022-05-31,43,51
YouGov,All adults,2022-05-24,42,49
YouGov,Registered voters,2022-05-24,44,51
YouGov,All adults,2022-05-22,42,53
YouGov,Registered voters,2022-05-22,43,54
YouGov,All adults,2022-05-20,44,56
YouGov,All adults,2022-05-17,41,50
YouGov,Registered voters,2022-05-17,43,51
YouGov,All adults,2022-05-10,41,50
YouGov,Registered voters,2022-05-10,42,51
YouGov,All adults,2022-05-09,38,55
YouGov,All adults,2022-05-06,40,52
YouGov,Registered voters,2022-05-06,43,54
YouGov,All adults,2022-05-03,42,50
YouGov,Registered voters,2022-05-03,46,50
YouGov,All adults,2022-04-27,41,49
YouGov,Registered voters,2022-04-27,43,51
YouGov,All adults,2022-04-22,42,51
YouGov,Registered voters,2022-04-22,44,52
YouGov,All adults,2022-04-19,41,49
YouGov,Registered voters,2022-04-19,43,51
YouGov,All adults,2022-04-12,44,48
YouGov,Registered voters,2022-04-12,46,49
YouGov,All adults,2022-04-08,42,58
YouGov,All adults,2022-04-05,40,50
YouGov,Registered voters,2022-04-05,43,50
YouGov,All adults,2022-04-04,39,53
YouGov,Registered voters,2022-04-04,43,53
YouGov,All adults,2022-03-29,43,49
YouGov,Registered voters,2022-03-29,45,49
YouGov,All adults,2022-03-22,43,48
YouGov,Registered voters,2022-03-22,45,49
YouGov,Registered voters,2022-03-21,42.67,57.33
YouGov,All adults,2022-03-15,40,51
YouGov,Registered voters,2022-03-15,41,53
YouGov,All adults,2022-03-14,41,53
YouGov,Registered voters,2022-03-14,45,53
YouGov,All adults,2022-03-11,43,57
YouGov,All adults,2022-03-08,41,48
YouGov,Registered voters,2022-03-08,45,49
YouGov,All adults,2022-03-01,42,47
YouGov,Registered voters,2022-03-01,44,49
YouGov,All adults,2022-02-28,44,56
YouGov,All adults,2022-02-27,41,53
YouGov,Registered voters,2022-02-27,41,55
YouGov,All adults,2022-02-22,41,49
YouGov,Registered voters,2022-02-22,44,50
YouGov,All adults,2022-02-18,43,57
YouGov,All adults,2022-02-15,39,50
YouGov,Registered voters,2022-02-15,42,52
YouGov,All adults,2022-02-11,44,56
YouGov,All adults,2022-02-08,39,50
YouGov,Registered voters,2022-02-08,41,51
YouGov,All adults,2022-02-07,42,51
YouGov,Registered voters,2022-02-07,45,51
YouGov,All adults,2022-02-01,42,49
YouGov,Registered voters,2022-02-01,45,49
YouGov,All adults,2022-01-25,38,51
YouGov,Registered voters,2022-01-25,41,51
YouGov,All adults,2022-01-24,40,53
YouGov,Registered voters,2022-01-24,41,54
YouGov,All adults,2022-01-18,39,51
YouGov,Registered voters,2022-01-18,42,53
YouGov,All adults,2022-01-14,44,56
YouGov,All adults,2022-01-11,42,50
YouGov,Registered voters,2022-01-11,45,51
YouGov,All adults,2022-01-04,40,50
YouGov,Registered voters,2022-01-04,43,51
YouGov,All adults,2021-12-21,39,49
YouGov,Registered voters,2021-12-21,42,50
YouGov,All adults,2021-12-20,41,53
YouGov,All adults,2021-12-14,40,51
YouGov,Registered voters,2021-12-14,43,51
YouGov,All adults,2021-12-13,41,53
YouGov,Registered voters,2021-12-13,42,54
YouGov,All adults,2021-12-07,39,52
YouGov,Registered voters,2021-12-07,42,53
YouGov,All adults,2021-11-30,41,49
YouGov,Registered voters,2021-11-30,44,50
YouGov,All adults,2021-11-23,41,49
YouGov,Registered voters,2021-11-23,45,50
YouGov,All adults,2021-11-19,43,52
YouGov,Registered voters,2021-11-19,44,53
YouGov,All adults,2021-11-19,44,56
YouGov,All adults,2021-11-16,44,49
YouGov,Registered voters,2021-11-16,43,51
YouGov,All adults,2021-11-09,42,48
YouGov,Registered voters,2021-11-09,45,49
YouGov,All adults,2021-11-08,42,51
YouGov,All adults,2021-11-02,41,50
YouGov,Registered voters,2021-11-02,44,51
YouGov,All adults,2021-10-26,43,49
YouGov,Registered voters,2021-10-26,45,49
YouGov,All adults,2021-10-21,44,49
YouGov,All adults,2021-10-19,44,46
YouGov,Registered voters,2021-10-19,45,48
YouGov,All adults,2021-10-12,39,50
YouGov,Registered voters,2021-10-12,42,51
YouGov,All adults,2021-10-08,50,50
YouGov,All adults,2021-10-05,42,47
YouGov,Registered voters,2021-10-05,44,49
YouGov,All adults,2021-10-04,42,50
YouGov,All adults,2021-09-28,40,49
YouGov,Registered voters,2021-09-28,43,51
YouGov,All adults,2021-09-21,43,46
YouGov,Registered voters,2021-09-21,46,48
YouGov,All adults,2021-09-20,45,50
YouGov,All adults,2021-09-14,44,48
YouGov,Registered voters,2021-09-14,46,49
YouGov,All adults,2021-09-09,50,50
YouGov,All adults,2021-09-07,39,49
YouGov,Registered voters,2021-09-07,43,52
YouGov,All adults,2021-09-01,44,49
YouGov,All adults,2021-08-31,45,45
YouGov,Registered voters,2021-08-31,47,46
YouGov,All adults,2021-08-24,46,44
YouGov,Registered voters,2021-08-24,48,46
YouGov,All adults,2021-08-20,50,50
YouGov,All adults,2021-08-18,47,46
YouGov,All adults,2021-08-17,44,44
YouGov,Registered voters,2021-08-17,47,47
YouGov,All adults,2021-08-10,46,43
YouGov,Registered voters,2021-08-10,47,45
YouGov,All adults,2021-08-03,48,43
YouGov,Registered voters,2021-08-03,49,44
YouGov,All adults,2021-08-02,48,44
YouGov,All adults,2021-07-27,45,44
YouGov,Registered voters,2021-07-27,49,45
YouGov,All adults,2021-07-20,48,40
YouGov,Registered voters,2021-07-20,50,43
YouGov,All adults,2021-07-17,58,42
YouGov,All adults,2021-07-15,50,42
YouGov,All adults,2021-07-13,47,43
YouGov,Registered voters,2021-07-13,49,45
YouGov,All adults,2021-07-06,50,40
YouGov,Registered voters,2021-07-06,51,44
YouGov,All adults,2021-06-29,48,43
YouGov,Registered voters,2021-06-29,50,46
YouGov,All adults,2021-06-24,50,43
YouGov,Registered voters,2021-06-23,51,46.7
YouGov,All adults,2021-06-22,49,41
YouGov,Registered voters,2021-06-22,52,44
YouGov,All adults,2021-06-15,48,42
YouGov,Registered voters,2021-06-15,48,45
YouGov,All adults,2021-06-08,50,41
YouGov,Registered voters,2021-06-08,51,43
YouGov,All adults,2021-06-01,50,40
YouGov,Registered voters,2021-06-01,50,43
YouGov,All adults,2021-05-26,49,41
YouGov,All adults,2021-05-25,53,39
YouGov,Registered voters,2021-05-25,52,42
YouGov,All adults,2021-05-18,51,41
YouGov,Registered voters,2021-05-18,51,43
YouGov,All adults,2021-05-13,49,40
YouGov,All adults,2021-05-11,52,39
YouGov,Registered voters,2021-05-11,52,44
YouGov,All adults,2021-05-04,48,42
YouGov,Registered voters,2021-05-04,49,46
YouGov,All adults,2021-04-29,54,37
YouGov,All adults,2021-04-27,51,39
YouGov,Registered voters,2021-04-27,52,41
YouGov,All adults,2021-04-24,58,42
YouGov,All adults,2021-04-23,51,44
YouGov,All adults,2021-04-20,49,38
YouGov,Registered voters,2021-04-20,51,42
YouGov,All adults,2021-04-13,50,41
YouGov,Registered voters,2021-04-13,51,43
YouGov,All adults,2021-04-08,52,38
YouGov,All adults,2021-04-06,49,41
YouGov,Registered voters,2021-04-06,52,42
YouGov,All adults,2021-03-30,48,40
YouGov,Registered voters,2021-03-30,50,43
YouGov,All adults,2021-03-25,53,36
YouGov,All adults,2021-03-23,49,41
YouGov,Registered voters,2021-03-23,51,43
YouGov,All adults,2021-03-17,53,37
YouGov,Registered voters,2021-03-17,55,41
YouGov,All adults,2021-03-13,62,38
YouGov,All adults,2021-03-10,60,40
YouGov,All adults,2021-03-09,50,39
YouGov,Registered voters,2021-03-09,52,41
YouGov,All adults,2021-03-02,51,39
YouGov,Registered voters,2021-03-02,52,42
YouGov,All adults,2021-02-22,50,38
YouGov,All adults,2021-02-22,51,36
YouGov,Registered voters,2021-02-22,51,40
YouGov,All adults,2021-02-16,54,37
YouGov,Registered voters,2021-02-16,55,40
YouGov,All adults,2021-02-09,50,37
YouGov,Registered voters,2021-02-09,53,40
YouGov,All adults,2021-02-08,61,39
YouGov,All adults,2021-02-02,47,38
YouGov,Registered voters,2021-02-02,50,40
YouGov,All adults,2021-01-26,51,34
YouGov,Registered voters,2021-01-26,52,36
YouGov,All adults,2021-01-21,45,28
